127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/web2py.js, HTTP/1.1, 200, 0.006065
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/marked.min.js, HTTP/1.1, 200, 0.001422
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/js/vue.min.js, HTTP/1.1, 200, 0.000949
127.0.0.1, 2018-11-24 11:50:31, GET, /my_holdings_sim/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000594
127.0.0.1, 2018-11-24 11:50:32, GET, /my_holdings_sim/api/get_post_list, HTTP/1.1, 200, 0.032884
127.0.0.1, 2018-11-24 11:50:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000413
127.0.0.1, 2018-11-24 11:50:36, GET, /my_holdings_sim/default/user/login, HTTP/1.1, 200, 0.036962
127.0.0.1, 2018-11-24 11:50:36, GET, /favicon.ico, HTTP/1.1, 400, 0.000285
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/default/user/register, HTTP/1.1, 200, 0.034490
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/css/stupid.css, HTTP/1.1, 304, 0.000625
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/css/custom.css, HTTP/1.1, 304, 0.000471
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/css/calendar.css, HTTP/1.1, 304, 0.000779
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/css/web2py.css, HTTP/1.1, 304, 0.000669
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/js/jquery.js, HTTP/1.1, 304, 0.000578
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/js/calendar.js, HTTP/1.1, 304, 0.000667
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/css/myapp.css, HTTP/1.1, 304, 0.000505
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000890
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/js/web2py.js, HTTP/1.1, 304, 0.000501
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/js/marked.min.js, HTTP/1.1, 304, 0.000561
127.0.0.1, 2018-11-24 11:50:46, GET, /my_holdings_sim/static/js/vue.min.js, HTTP/1.1, 304, 0.000564
127.0.0.1, 2018-11-24 11:50:47, GET, /my_holdings_sim/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 304, 0.000426
127.0.0.1, 2018-11-24 11:50:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000219
127.0.0.1, 2018-11-24 11:50:56, POST, /my_holdings_sim/default/user/register, HTTP/1.1, 303, 0.084253
127.0.0.1, 2018-11-24 11:50:56, GET, /my_holdings_sim/default/index, HTTP/1.1, 200, 0.038698
127.0.0.1, 2018-11-24 11:50:56, GET, /my_holdings_sim/static/js/vue.js, HTTP/1.1, 304, 0.000526
127.0.0.1, 2018-11-24 11:50:56, GET, /my_holdings_sim/static/css/myapp.css, HTTP/1.1, 304, 0.001824
127.0.0.1, 2018-11-24 11:50:56, GET, /my_holdings_sim/static/js/default_index.js, HTTP/1.1, 304, 0.000533
127.0.0.1, 2018-11-24 11:50:56, GET, /favicon.ico, HTTP/1.1, 400, 0.002365
